19 64
17 4 958
1 9 388
4 1 518
6 2 272
3 6 955
1 14 823
14 19 392
8 14 426
8 14 275
6 11 971
3 1 136
14 8 777
14 15 428
1 6 477
19 16 108
3 13 688
17 13 558
3 2 724
11 17 399
10 6 388
3 12 524
8 5 250
17 3 107
11 19 28
6 19 708
19 14 934
14 19 587
1 16 79
1 4 132
9 13 479
3 7 637
14 1 611
15 3 310
9 3 318
16 9 454
10 1 272
8 10 536
10 3 810
17 15 314
14 19 936
14 11 704
16 10 222
3 16 763
6 1 297
1 10 43
1 13 164
2 17 589
4 15 967
9 16 917
1 14 553
15 2 714
12 16 270
10 6 643
1 13 497
13 3 256
10 9 860
19 13 187
1 18 100
15 13 789
5 15 477
8 17 681
12 19 475
17 2 149
18 10 860
17 1
