78 63
72 56 446
69 12 421
6 8 18
28 29 991
60 2 371
48 73 760
13 4 -200
61 62 404
71 17 880
72 41 -299
57 19 -496
59 3 -597
48 30 286
7 49 101
59 72 667
48 55 12
69 78 -398
54 68 -954
25 34 -412
10 18 456
20 49 134
32 78 -513
74 53 374
67 76 533
19 39 -39
33 43 873
47 7 418
36 6 -39
15 49 446
71 30 -986
10 2 -904
38 33 603
12 4 -949
67 19 533
31 66 234
24 49 486
27 4 505
73 7 -879
49 29 656
48 62 -197
59 33 -929
75 57 -512
65 27 -65
4 72 -374
69 10 803
33 24 745
77 49 143
70 74 325
30 58 784
37 8 -741
55 4 861
44 72 -196
9 41 247
64 70 -599
4 2 -417
11 35 195
19 61 564
40 73 -824
37 27 227
29 30 140
15 69 348
57 42 -162
77 68 164
