505 773
73 307 94963
16 340 78009
173 339 -72468
143 310 -75872
390 446 -55934
293 458 -48017
488 441 -19275
347 490 35416
181 178 78726
128 272 -36577
167 435 86042
449 438 -43105
263 181 46121
306 423 -6126
453 239 -62114
200 253 -63830
325 66 39687
12 411 -28461
277 497 -28837
245 307 88245
74 397 22508
401 405 -10810
317 409 82710
421 6 73658
422 457 39130
225 204 -92489
11 318 -89528
59 464 -46762
187 428 99968
278 263 12279
352 402 -97260
50 271 -90262
382 171 84650
150 108 31318
211 339 -83843
151 282 16713
168 460 -22974
162 188 -42845
68 238 69857
191 201 86862
464 342 93067
446 314 92737
355 357 52080
163 41 -22086
29 295 20766
335 98 -12814
46 451 -51300
90 207 78013
449 408 35572
198 31 49087
87 209 14139
41 351 37787
97 190 40848
420 452 -14696
145 10 7918
51 307 11271
253 277 56440
431 386 -57488
307 132 81044
28 277 -23848
63 322 12568
228 16 35181
59 312 73597
258 312 -65249
199 226 96242
468 446 8023
5 312 -12472
467 37 -2019
480 473 -15450
311 250 1148
492 347 -74519
312 463 -22410
191 343 9812
388 311 23428
139 353 86025
97 423 -18918
188 272 -6892
323 91 -73750
268 276 42070
320 482 82092
133 425 -15625
414 176 -34108
433 232 -1885
483 459 77229
227 258 -95461
216 15 48408
186 410 -44243
287 402 -18004
333 133 -52358
446 181 62182
268 432 41900
436 373 55369
208 143 -23418
413 60 37775
136 148 69514
326 405 -11210
5 52 96764
19 406 16493
161 448 27198
264 267 -42477
104 246 -85322
432 82 72763
52 345 19055
440 500 83680
492 461 -98465
128 356 55784
67 460 -86678
177 325 87639
11 488 52458
23 414 16381
77 343 45948
380 318 -58090
440 5 77094
401 494 -16883
257 420 -84821
162 451 -89984
41 397 -34912
269 470 60031
340 245 -35480
237 87 -52554
312 395 34015
191 32 9145
164 107 41955
310 339 -93620
259 15 -16142
258 360 85770
148 69 -43393
18 270 -19325
30 182 67221
408 496 -20765
433 411 71812
383 427 5866
200 22 89687
277 35 61361
320 175 -91326
184 15 33151
306 102 87554
229 91 92445
10 303 -21587
492 64 -42302
428 434 7
203 115 4513
102 329 33590
364 171 -94162
313 226 -9937
198 160 40568
167 21 -75519
129 279 -82849
436 161 44642
9 169 -69889
385 348 33894
280 201 8792
199 403 94336
431 190 99480
371 180 -76266
162 197 65714
106 186 -63208
123 310 70875
404 380 1531
469 504 26049
470 214 -21211
174 88 -55353
40 403 -37850
113 27 -84267
226 406 -8589
179 313 -82453
377 252 -12835
281 436 -8426
211 123 63731
132 461 -49202
399 241 4579
487 299 87138
137 69 -96774
378 333 79220
132 340 33982
298 374 -54650
142 370 -38783
195 219 29284
24 323 88941
244 71 -27592
217 394 -18054
183 48 -70346
101 52 -32943
499 44 48266
378 36 -15689
385 450 -65221
267 33 7945
134 206 14285
458 306 -17788
200 158 -88344
3 233 -86805
343 489 -26550
146 223 -44831
451 468 21841
333 169 7108
180 389 34389
496 57 -90167
226 277 72658
24 363 16035
26 422 -14964
100 387 38679
345 498 -62181
144 428 -94390
297 161 98031
199 387 -91184
144 9 96100
495 326 -4190
305 61 44478
472 363 -59656
473 402 6846
366 16 9406
476 461 912
151 262 -51997
75 39 86836
377 200 -48688
344 290 9588
377 502 -28762
206 271 22952
384 154 -72083
91 205 -93340
264 389 -23937
503 400 -49359
23 356 -89553
165 501 -61931
127 256 43802
210 16 -98805
344 488 21913
191 381 -90651
173 393 51991
370 505 49711
301 36 46949
445 436 58921
335 444 -80317
111 50 -77460
81 22 -52400
475 213 -47606
323 423 -85807
380 249 71048
185 158 74892
206 333 68867
183 307 37379
73 266 94729
208 310 -16131
427 108 81897
52 463 26210
341 210 -11872
295 230 44372
9 192 9176
212 312 63172
168 402 42537
73 246 72791
302 6 -26911
472 168 -10111
32 318 71761
164 443 -12009
228 252 -98279
396 133 65346
410 304 -53853
395 263 -33688
334 264 -54832
135 380 480
2 318 78071
330 474 79653
213 173 -90352
172 86 76050
141 419 -59782
68 260 -7530
274 269 -52506
376 43 -23931
322 346 -15381
99 387 -57775
266 23 98747
124 406 92625
110 238 -6584
15 237 88462
343 143 -61876
171 199 -35144
479 262 23363
178 209 35366
42 268 -86552
330 371 94514
309 66 -10032
63 104 -75792
266 476 14980
366 12 -60595
355 229 -19146
159 316 -96895
357 450 11485
352 467 90720
483 393 67201
114 198 82716
499 445 -96936
50 380 -24086
360 18 -92270
26 445 95663
245 441 91278
95 103 26194
451 186 -73325
31 502 -64989
232 230 85783
19 493 -87208
99 490 -50716
349 185 92341
335 204 19131
304 20 9476
264 140 -6982
27 233 93071
165 460 35867
326 31 -82644
137 481 15681
435 116 -93919
95 475 -5631
497 267 -86228
436 405 -12831
62 71 64093
485 326 64225
200 24 -3575
40 88 -48131
384 321 -43610
68 463 -62652
143 489 -32879
436 371 30524
359 349 -19654
369 21 -2099
144 216 -82590
240 372 98955
70 494 -12847
505 120 -88019
393 416 4717
421 339 -51812
129 404 -40521
415 265 88847
402 395 9815
86 308 61074
365 138 55798
307 217 70207
249 262 24570
246 266 -28889
99 503 -22177
364 398 56476
231 150 -49864
42 323 20315
193 174 72440
46 472 66815
57 104 -79195
505 323 19376
156 316 -5321
207 483 67129
464 302 19496
124 159 -29450
376 118 52296
261 101 -69681
204 107 -15082
43 227 5688
205 303 67107
481 331 -62638
350 1 71372
464 152 -30321
33 88 -61035
348 505 -4562
90 434 -1830
339 419 18221
15 254 -23242
394 163 -27790
446 270 -99002
152 442 -45276
276 55 84548
280 296 -55226
418 424 68557
141 135 72356
31 336 -40492
91 136 -54746
442 20 11666
409 140 -40384
407 94 4036
352 355 -63633
428 138 -41999
31 148 -49779
340 99 9277
232 425 -10098
252 307 53143
167 198 -53003
487 44 19137
192 475 -19765
276 226 -39109
219 431 -53935
347 63 -41953
29 270 24138
174 503 23117
142 33 56865
489 296 76465
325 140 -39193
168 332 -32261
450 130 -46375
9 68 95354
304 438 -37698
291 303 -68254
374 303 -80303
215 274 22664
413 88 50864
157 11 88254
39 337 28498
476 50 42198
291 239 -27323
459 42 -21397
449 248 67336
120 485 -92537
32 39 85510
140 159 -42142
71 147 25198
400 478 -93610
272 491 22185
103 427 -99613
288 102 -27035
50 88 62123
380 425 -11233
11 84 -69505
185 171 1343
353 320 -5761
162 455 23049
225 206 -92148
280 278 12779
341 72 7522
153 416 -48459
296 433 23044
467 207 -67846
394 100 -64913
429 16 89245
383 305 -84237
130 145 -81735
370 489 19242
161 225 32666
402 479 41825
4 55 -94667
339 96 98277
18 308 -5243
210 35 80699
52 81 -16945
228 328 46382
460 11 -55639
175 109 94646
157 310 33361
458 271 57958
193 397 -4640
26 90 -86164
441 10 62636
362 107 -83993
219 115 -86172
496 482 -22116
143 80 -38196
160 360 -83154
433 234 -11649
330 496 60953
486 357 19838
19 229 85413
229 494 -15981
475 189 -95177
68 456 78797
364 319 -33822
466 336 -78891
487 427 -35710
318 297 -64344
352 112 10376
9 237 35508
318 30 -57999
400 144 -37729
452 301 -4602
385 182 -71341
199 434 -86054
469 286 -28578
495 499 -36807
144 106 -31080
233 244 19756
227 69 -29893
347 313 -37500
397 103 63299
503 293 59749
431 83 -62029
444 326 -61645
198 138 12956
414 431 -6113
314 377 -65187
295 418 52162
230 75 -20193
312 127 -89818
51 350 70713
245 117 27429
430 233 54316
16 182 97576
214 277 -9087
244 99 60056
445 90 28634
125 447 31715
64 232 -32361
433 352 -18358
350 302 -12406
283 291 7275
33 263 56885
314 25 46760
491 104 57968
2 167 -35484
374 71 -84481
456 223 60577
344 307 -7474
55 429 -18109
31 332 -12617
407 181 92229
254 239 68153
155 98 78027
337 379 32590
28 294 -93474
442 389 -66695
106 185 -69163
23 489 70127
420 291 82938
175 249 42363
313 41 -60169
424 272 41400
487 505 66122
162 29 -61082
192 331 1023
33 386 -9972
29 381 53833
350 371 -67665
360 446 -86871
165 97 -29282
258 407 -15965
15 165 51143
491 95 -71395
86 233 -44636
408 311 47503
281 74 -2569
109 199 24255
118 458 -30294
218 20 -93271
388 348 90009
140 199 68352
354 483 90159
497 442 -35885
92 96 28979
248 283 89128
185 144 -1654
403 391 76088
398 359 548
465 18 -31114
270 411 13911
255 493 -58047
314 114 62207
398 401 47749
325 407 81163
304 170 -23727
366 500 -70840
328 445 62185
36 178 -96894
214 148 49899
497 339 65457
285 144 68312
17 373 19760
170 139 -11299
232 178 -94610
158 429 -18304
57 132 69684
88 441 17660
438 108 15024
16 366 -33783
284 457 -26982
219 91 68700
426 255 -27260
232 473 72800
440 283 -57259
334 292 -85851
123 254 51257
20 30 93955
181 399 68363
385 467 -90478
331 504 -83393
232 132 19636
347 141 57016
45 317 -2763
89 64 71186
424 118 -35274
339 28 19461
43 248 -22866
260 467 -79578
252 200 37260
8 84 83916
477 118 22818
351 290 23356
410 299 58667
249 321 -94729
230 55 37279
320 56 5291
356 338 29671
491 493 21666
362 219 -68856
271 6 60753
219 54 54074
431 249 12278
326 394 98989
75 357 -58655
256 356 -55412
391 271 78256
280 155 66637
403 445 -69989
5 367 -29266
477 306 97154
4 164 87779
48 210 -96663
56 444 42696
279 122 7793
236 167 -35290
171 128 -84401
236 124 15344
337 110 47327
483 113 -61604
127 328 98969
262 194 -29712
7 24 -8742
493 463 -46305
278 244 892
98 61 80729
42 209 -90912
382 164 60401
505 483 99864
252 157 -90193
274 287 37700
136 152 3733
354 471 -84135
248 435 11687
1 318 33713
270 13 73882
